Loci	Chromosome	Expressed Parental Allele	Name
Gpr1	1	P	G protein-coupled receptor 1
Zdbf2	1	P	"zinc finger, DBF-type containing 2"
Sfmbt2	2	P	Scm-like with four mbt domains 2
Wt1	2	M	Wilms tumor 1 homolog
Gatm	2	M	glycine amidinotransferase (L-arginine:glycine amidinotransferase)
H13	2	M	histocompatibility 13
Mcts2	2	P	malignant T cell amplified sequence 2
Nnat	2	P	neuronatin
Blcap	2	M	bladder cancer associated protein homolog (human)
Zfp64	2	P	zinc finger protein 64
Gnas	2	M	"GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus"
Nespos	2	P	neuroendocrine secretory protein opposite strand
Phf17	3	P	PHD finger protein 17
Htra3	5	M	HtrA serine peptidase 3
Mkrn1-ps1	5	P	"makorin, ring finger protein 1, pseudogene 1"
Calcr	6	M	calcitonin receptor
Tfpi2	6	M	tissue factor pathway inhibitor 2
Casd1	6	M	CAS1 domain containing 1
Sgce	6	P	"sarcoglycan, epsilon"
Peg10	6	P	paternally expressed 10
Ppp1r9a	6	M	"protein phosphatase 1, regulatory (inhibitor) subunit 9A"
Pon3	6	M	paraoxonase 3
Pon2	6	M	paraoxonase 2
Asb4	6	M	ankyrin repeat and SOCS box-containing 4
Dlx5	6	M	distal-less homeobox 5
Mest	6	P	mesoderm specific transcript
Mir335	6	P	microRNA 335
Copg2	6	M	"coatomer protein complex, subunit gamma 2"
Klf14	6	M	Kruppel-like factor 14
Nap1l5	6	P	nucleosome assembly protein 1-like 5
Cntn3	6	M	contactin 3
Klrb1f	6	M	killer cell lectin-like receptor subfamily B member 1F
Copg2os2	6	P	"coatomer protein complex, subunit gamma 2, opposite strand 2"
Copg2os1	6	P	"coatomer protein complex, subunit gamma 2, opposite strand 1"
Zim1	7	M	"zinc finger, imprinted 1"
Peg3	7	P	paternally expressed 3
Usp29	7	P	ubiquitin specific peptidase 29
Axl	7	M	AXL receptor tyrosine kinase
Atp10a	7	M	"ATPase, class V, type 10A"
Ube3a	7	M	ubiquitin protein ligase E3A
Ipw	7	P	imprinted gene in the Prader-Willi syndrome region
Snord64	7	P	"small nucleolar RNA, C/D box 64"
Snurf	7	P	SNRPN upstream reading frame
Snrpn	7	P	small nuclear ribonucleoprotein N
Ndn	7	P	necdin
Magel2	7	P	"melanoma antigen, family L, 2"
Mkrn3	7	P	"makorin, ring finger protein, 3"
Peg12	7	P	paternally expressed 12
Art5	7	M	ADP-ribosyltransferase 5
Ampd3	7	M	adenosine monophosphate deaminase 3
H19	7	M	H19 fetal liver mRNA
Igf2os	7	P	"insulin-like growth factor 2, opposite strand"
Igf2	7	P	insulin-like growth factor 2
Ins2	7	P	insulin II
Th	7	M	tyrosine hydroxylase
Ascl2	7	M	achaete-scute complex homolog 2 (Drosophila)
Tspan32	7	M	tetraspanin 32
Cd81	7	M	CD81 antigen
Tssc4	7	M	tumor-suppressing subchromosomal transferable fragment 4
Kcnq1	7	M	"potassium voltage-gated channel, subfamily Q, member 1"
Kcnq1ot1	7	P	KCNQ1 overlapping transcript 1
Cdkn1c	7	M	cyclin-dependent kinase inhibitor 1C (P57)
Slc22a18	7	M	"solute carrier family 22 (organic cation transporter), member 18"
Phlda2	7	M	"pleckstrin homology-like domain, family A, member 2"
Nap1l4	7	M	nucleosome assembly protein 1-like 4
Tnfrsf23	7	M	"tumor necrosis factor receptor superfamily, member 23"
Osbpl5	7	M	oxysterol binding protein-like 5
Dhcr7	7	M	7-dehydrocholesterol reductase
Snord116	7	P	"small nucleolar RNA, C/D box 116 cluster"
AF313042	7	M	cDNA sequence AF313042
Mkrn3os	7	P	"makorin, ring finger protein 3, opposite strand"
Snord115	7	P	"small nucleolar RNA, C/D Box 115 cluster"
Zim3	7	M	"zinc finger, imprinted 3"
Zfp264	7	P	zinc finger protein 264
Zim2	7	M	"zinc finger, imprinted 2"
Apeg3	7	P	Apeg3
Ube3a-as	7	P	Ube3a-as
Pec2	7	P	Pec2
Pec3	7	P	Pec3
Inpp5f_v2	7	P	Inpp5f_v2
Inpp5f_v3	7	P	Inpp5f_v3
PIHit	7	P	PIHit
Mir184	9	P	microRNA 184
Rasgrf1	9	P	RAS protein-specific guanine nucleotide-releasing factor 1
Mst1r	9	M	macrophage stimulating 1 receptor (c-met-related tyrosine kinase)
A19	9	P	A19
AK029869	9	P	AK029869
Plagl1	10	P	pleiomorphic adenoma gene-like 1
Phactr2	10	M	phosphatase and actin regulator 2
Dcn	10	M	decorin
Ddc	11	P	dopa decarboxylase
Grb10	11	M	growth factor receptor bound protein 10
Cobl	11	M	cordon-bleu WH2 repeat
Zrsr1	11	P	"zinc finger (CCCH type), RNA binding motif and serine/arginine rich 1"
Commd1	11	M	COMM domain containing 1
Grb10as	11	M	Grb10as
Scin	12	M	scinderin
Begain	12	P	brain-enriched guanylate kinase-associated
Dlk1	12	P	delta-like 1 homolog (Drosophila)
Meg3	12	M	maternally expressed 3
Mir337	12	M	microRNA 337
Mir431	12	M	microRNA 431
Mir433	12	M	microRNA 433
Mir127	12	M	microRNA 127
Mir434	12	M	microRNA 434
Mir136	12	M	microRNA 136
Rtl1	12	P	retrotransposon-like 1
Rian	12	M	RNA imprinted and accumulated in nucleus
Mir370	12	M	microRNA 370
AF357425	12	M	snoRNA AF357425
AF357428	12	M	snoRNA AF357428
AF357341	12	M	snoRNA AF357341
Mir411	12	M	microRNA 411
Mir380	12	M	microRNA 380
Mir376b	12	M	microRNA 376b
Mir134	12	M	microRNA 134
