ids	sample1_conditionA_batch1	sample2_conditionA_batch1	sample3_conditionB_batch1	sample4_conditionB_batch1
00c56e36-33e3-48bb-8da8-50daa48eade3_R2_46	7070.0	2558.0	4438.0	5084.0
00e8b259-962f-4db5-a297-9dc5fb395455_R2_150	37.0	11.0	9.0	16.0
010ade2d-1ac9-47b0-a9a8-ae5b2bd08089_R1_22	176.0	33.0	3.0	3.0
0183f6bc-0053-4b9a-9bf2-1e785630f3b9_R1_13	16.0	7.0	1.0	9.0
01d987d0-7257-4999-8d39-9ca198becd9f_R1_73	128.0	69.0	291.0	359.0
01ed4af2-4973-47c9-80bd-2af0c3a96792_R1_73	10.0	3.0	15.0	17.0
039b2c1e-030d-49f0-a6b0-478ff356ed57_R1_73	1.0	2.0	3.0	2.0
04b5e748-619b-40d1-b0cf-b02b9e8549df_R1_22	5.0	1.0	2.0	0.0
04c76bf2-9ab2-455b-923c-1e6509976973_R1_73	4.0	1.0	4.0	1.0
05863d91-e5ba-4906-bf2f-ac4fe652bfce_R1_92	4.0	1.0	1.0	2.0
05b17b11-90c8-4886-a341-5b6a0120c034_R2_14	32.0	17.0	19.0	21.0
05cc3dfc-5ed5-4d15-a6ec-c3a303068b20_chrIS:6583000	0.0	0.0	3.0	11.0
05e27ee8-37ca-4612-9f31-e089a082d2f0_R2_14	208.0	81.0	126.0	182.0
060e294b-70eb-4bc5-9322-acb395892513_R2_53	3.0	4.0	6.0	15.0
06c8536b-642a-42da-b573-b78c0f1bfd52_R1_73	4.0	2.0	3.0	2.0
06c865a8-fce3-4eb0-b4cc-1ff14f924159_R1_103	3.0	1.0	0.0	1.0
07c69a09-dbe2-429c-b92e-135fbc4264d5_R1_103	20.0	10.0	7.0	1.0
0808a0d6-6467-4177-83c4-3da324dfcabf_R1_103	32.0	16.0	3.0	3.0
08105099-9fbb-4861-9258-6f8694809a56_R1_103	10.0	12.0	2.0	3.0
0841050d-5705-4cf4-9118-831c9d625def_R1_103	7.0	3.0	1.0	1.0
08c0a0ef-25ff-4a61-8b6b-17da6ab07e64_R2_46	12.0	10.0	9.0	15.0
08d3e1c6-53f9-4300-a4f0-49735bf786d0_R2_46	356.0	285.0	229.0	295.0
