Differentially expressed genes,,,,,,,,,
EntrezID,Symbols,GeneName,Chr.1,logFC,AveExpr,t,P.Value,adj.P.Val,B
116731,Pcdha1,protocadherin alpha 1,18,6.42569953,-2.132804475,-16.2617273,2.56E-10,4.55E-07,11.47547413
353234,Pcdha2,protocadherin alpha 2,18,6.20452096,-1.65652399,-10.45370264,6.89E-08,1.53E-05,7.763669142
192163,Pcdha3,protocadherin alpha 3,18,6.026441033,-1.17518639,-9.640520938,1.84E-07,2.57E-05,7.038009634
12941,Pcdha5,protocadherin alpha 5,18,5.758665804,-1.166756511,-11.33387372,2.54E-08,1.06E-05,8.553991222
12939,Pcdha7,protocadherin alpha 7,18,5.508249953,-0.336678351,-8.816804913,5.30E-07,4.56E-05,6.202449622
12937,Pcdha6,protocadherin alpha 6,18,5.122622932,-0.261475436,-10.23750204,8.88E-08,1.72E-05,7.641050093
93872,Pcdhb1,protocadherin beta 1,18,4.904439654,-2.562700355,-10.62101582,5.67E-08,1.41E-05,7.766057567
353235,Pcdha8,protocadherin alpha 8,18,4.395365438,-0.644685299,-10.86592623,4.28E-08,1.41E-05,8.157511052
69513,1700030C10Rik,RIKEN cDNA 1700030C10 gene,12,4.294724695,-0.409162305,-11.05928766,3.45E-08,1.26E-05,8.442787891
93882,Pcdhb11,protocadherin beta 11,18,4.121981328,3.33816761,-16.76827863,1.72E-10,3.49E-07,14.38674536
66957,Serpinb11,"serine (or cysteine) peptidase inhibitor, clade B (ovalbumin), member 11",1,4.098886228,-2.309992063,-8.741120101,5.86E-07,4.79E-05,5.97533677
244810,AW551984,expressed sequence AW551984,9,4.091924552,-0.701127599,-10.55208407,6.14E-08,1.41E-05,7.86783239
13628,Eef1a2,eukaryotic translation elongation factor 1 alpha 2,2,4.086662651,-0.386149021,-9.693052911,1.72E-07,2.45E-05,7.093448658
93873,Pcdhb2,protocadherin beta 2,18,3.915157729,1.221552919,-15.48861964,4.81E-10,7.61E-07,12.62702291
53604,Zpbp,zona pellucida binding protein,11,3.911334299,-1.869335883,-6.264993752,2.34E-05,0.000491793,2.872616867
70530,Lrfn2,leucine rich repeat and fibronectin type III domain containing 2,17,3.74850611,-1.629529888,-5.718609656,5.88E-05,0.000902942,2.049628692
56710,Brinp1,bone morphogenic protein/retinoic acid inducible neural specific 1,4,3.560607096,1.249616394,-11.64848026,1.81E-08,9.90E-06,9.644539273
114873,Dscaml1,Down syndrome cell adhesion molecule like 1,9,3.520019825,0.285771349,-7.479263297,3.48E-06,0.000142452,4.717140781
93874,Pcdhb3,protocadherin beta 3,18,3.501269416,0.697731974,-12.27101997,9.43E-09,7.06E-06,10.0866983
192161,Pcdha9,protocadherin alpha 9,18,3.444012415,0.36493281,-9.578996001,1.98E-07,2.64E-05,7.35038461
236366,5730507C01Rik,RIKEN cDNA 5730507C01 gene,12,3.412287129,-0.16572523,-10.56395362,6.06E-08,1.41E-05,8.241895865
229791,D3Bwg0562e,"DNA segment, Chr 3, Brigham & Women's Genetics 0562 expressed",3,3.373713736,-2.028859248,-5.418306555,9.93E-05,0.00123624,1.569791659
93875,Pcdhb4,protocadherin beta 4,18,3.372728398,1.676715026,-12.92971562,4.87E-09,4.08E-06,11.04477826
497097,Xkr4,X Kell blood group precursor related family member 4,1,3.343312665,-0.946565725,-8.290887027,1.08E-06,7.14E-05,5.541969329
93881,Pcdhb10,protocadherin beta 10,18,3.319085657,2.353781152,-17.36341845,1.09E-10,3.09E-07,14.59240601
14804,Grid2,"glutamate receptor, ionotropic, delta 2",6,3.31434265,-0.79149549,-6.036906542,3.42E-05,0.000630836,2.549024526
239420,Csmd3,CUB and Sushi multiple domains 3,15,3.313235586,1.696464262,-12.93904385,4.83E-09,4.08E-06,11.00993622
269109,Dpp10,dipeptidylpeptidase 10,1,3.243544178,0.295043584,-10.36632999,7.63E-08,1.57E-05,8.151237665
93884,Pcdhb13,protocadherin beta 13,18,3.238044576,-0.838506404,-7.62343945,2.81E-06,0.000125278,4.77492488
233271,Luzp2,leucine zipper protein 2,7,3.177451676,1.347612638,-7.774383205,2.26E-06,0.000109185,5.217621606
270097,Vat1l,vesicle amine transport protein 1 homolog-like (T. californica),8,3.159714237,0.841871783,-7.445789005,3.66E-06,0.000145838,4.738958149
