gene_ID	transcript_ID	annot_gene_id	annot_transcript_id	annot_gene_name	annot_transcript_name	n_exons	length	gene_novelty	transcript_novelty	ISM_subtype	barcode01	barcode02	barcode03	barcode04
65	2	R2_19	R2_19_1	TALONG000000065	TALONT000000002	8	1688	Known	Known	None	30	41	13	35
5	3	R1_42	R1_42_2	TALONG000000005	TALONT000000003	4	604	Known	Known	None	6	0	5	7
5	4	R1_42	R1_42_1	TALONG000000005	TALONT000000004	6	975	Known	Known	None	4	3	0	4
25	7	R1_23	R1_23_1	TALONG000000025	TALONT000000007	11	1689	Known	Known	None	55	45	73	76
24	8	R2_150	R2_150_2	TALONG000000024	TALONT000000008	6	1846	Known	Known	None	2287	2360	240	350
24	9	R2_150	R2_150_1	TALONG000000024	TALONT000000009	4	755	Known	Known	None	8816	3035	674	1026
25	10	R1_23	R1_23_2	TALONG000000025	TALONT000000010	7	1182	Known	Known	None	96	29	70	113
31	12	R1_52	R1_52_2	TALONG000000031	TALONT000000012	10	1504	Known	Known	None	6	1	2	6
8	13	R1_61	R1_61_1	TALONG000000008	TALONT000000013	4	663	Known	Known	None	46	9	30	54
64	14	R2_38	R2_38_1	TALONG000000064	TALONT000000014	4	829	Known	Known	None	1312	395	728	1268
64	17	R2_38	R2_38_4	TALONG000000064	TALONT000000017	4	573	Known	Known	None	21970	6031	12498	20594
16	18	R2_47	R2_47_2	TALONG000000016	TALONT000000018	5	1201	Known	Known	None	0	0	0	1
27	20	R1_33	R1_33_2	TALONG000000027	TALONT000000020	4	1022	Known	Known	None	628	200	367	547
9	22	R1_103	R1_103_1	TALONG000000009	TALONT000000022	15	1754	Known	Known	None	242	188	2006	3319
9	23	R1_103	R1_103_2	TALONG000000009	TALONT000000023	15	1856	Known	Known	None	4765	3030	153	241
48	24	R2_1	R2_1_1	TALONG000000048	TALONT000000024	1	995	Known	Known	None	121	49	58	102
69	25	R2_42	R2_42_3	TALONG000000069	TALONT000000025	2	558	Known	Known	None	9415	2237	5137	7964
69	26	R2_42	R2_42_2	TALONG000000069	TALONT000000026	3	655	Known	Known	None	15842	4557	9448	14946
69	27	R2_42	R2_42_1	TALONG000000069	TALONT000000027	8	1367	Known	Known	None	3493	2152	2744	4399
8	28	R1_61	R1_61_2	TALONG000000008	TALONT000000028	3	535	Known	Known	None	71	9	36	64
68	29	R2_37	R2_37_3	TALONG000000068	TALONT000000029	5	1083	Known	Known	None	4	0	0	1
68	31	R2_37	R2_37_1	TALONG000000068	TALONT000000031	4	1143	Known	Known	None	5	0	0	0
40	33	R1_101	R1_101_2	TALONG000000040	TALONT000000033	2	430	Known	Known	None	279	80	66	110
40	34	R1_101	R1_101_1	TALONG000000040	TALONT000000034	3	719	Known	Known	None	403	89	8	19
47	35	R2_6	R2_6_1	TALONG000000047	TALONT000000035	4	546	Known	Known	None	12172	3318	1007	1734
47	36	R2_6	R2_6_2	TALONG000000047	TALONT000000036	2	491	Known	Known	None	1715	459	1429	2292
53	38	R2_54	R2_54_2	TALONG000000053	TALONT000000038	6	1523	Known	Known	None	0	2	0	0
29	40	R1_31	R1_31_1	TALONG000000029	TALONT000000040	5	661	Known	Known	None	5300	1434	3541	5202
29	41	R1_31	R1_31_2	TALONG000000029	TALONT000000041	11	1466	Known	Known	None	109	60	115	128
57	43	R2_76	R2_76_3	TALONG000000057	TALONT000000043	5	822	Known	Known	None	0	0	0	2
4	45	R1_43	R1_43_2	TALONG000000004	TALONT000000045	21	2907	Known	Known	None	0	0	1	0
4	46	R1_43	R1_43_1	TALONG000000004	TALONT000000046	19	2617	Known	Known	None	0	0	8	8
6	47	R1_41	R1_41_1	TALONG000000006	TALONT000000047	4	439	Known	Known	None	1859	341	684	969
6	50	R1_41	R1_41_2	TALONG000000006	TALONT000000050	2	1001	Known	Known	None	327	99	1313	1871
75	51	R2_14	R2_14_2	TALONG000000075	TALONT000000051	5	596	Known	Known	None	19596	5341	11853	18760
75	52	R2_14	R2_14_3	TALONG000000075	TALONT000000052	2	931	Known	Known	None	9247	3525	5983	9882
75	53	R2_14	R2_14_1	TALONG000000075	TALONT000000053	5	1069	Known	Known	None	41611	16580	26217	42947
56	54	R2_59	R2_59_3	TALONG000000056	TALONT000000054	9	1083	Known	Known	None	10	9	186	276
56	55	R2_59	R2_59_2	TALONG000000056	TALONT000000055	9	2484	Known	Known	None	0	6	48	68
56	56	R2_59	R2_59_1	TALONG000000056	TALONT000000056	10	2625	Known	Known	None	1	2	21	33
15	57	R2_46	R2_46_3	TALONG000000015	TALONT000000057	3	1003	Known	Known	None	6927	4828	4874	6506
15	58	R2_46	R2_46_2	TALONG000000015	TALONT000000058	3	402	Known	Known	None	2277	791	1295	1423
15	59	R2_46	R2_46_1	TALONG000000015	TALONT000000059	5	1921	Known	Known	None	817	1805	1054	1631
26	60	R1_32	R1_32_2	TALONG000000026	TALONT000000060	3	783	Known	Known	None	23	4	7	19
26	61	R1_32	R1_32_1	TALONG000000026	TALONT000000061	4	944	Known	Known	None	79	26	0	0
43	62	R1_102	R1_102_1	TALONG000000043	TALONT000000062	7	1490	Known	Known	None	98	60	54	92
43	63	R1_102	R1_102_2	TALONG000000043	TALONT000000063	6	1362	Known	Known	None	10	1	194	271
61	65	R1_22	R1_22_1	TALONG000000061	TALONT000000065	9	1169	Known	Known	None	3060	1091	10	8
61	66	R1_22	R1_22_2	TALONG000000061	TALONT000000066	6	1041	Known	Known	None	388	127	277	368
38	67	R2_116	R2_116_1	TALONG000000038	TALONT000000067	6	745	Known	Known	None	31	13	21	32
38	68	R2_116	R2_116_2	TALONG000000038	TALONT000000068	6	711	Known	Known	None	30	15	26	19
38	69	R2_116	R2_116_3	TALONG000000038	TALONT000000069	6	639	Known	Known	None	84	46	51	48
12	70	R2_68	R2_68_2	TALONG000000012	TALONT000000070	13	2015	Known	Known	None	4	4	0	0
12	71	R2_68	R2_68_1	TALONG000000012	TALONT000000071	13	2461	Known	Known	None	5	3	0	0
45	72	R1_72	R1_72_2	TALONG000000045	TALONT000000072	1	1227	Known	Known	None	29	9	0	0
35	73	R1_13	R1_13_1	TALONG000000035	TALONT000000073	10	1940	Known	Known	None	507	707	215	300
35	74	R1_13	R1_13_2	TALONG000000035	TALONT000000074	3	698	Known	Known	None	713	178	27888	44832
2	75	R1_82	R1_82_2	TALONG000000002	TALONT000000075	4	982	Known	Known	None	2	0	7	15
37	76	R2_7	R2_7_1	TALONG000000037	TALONT000000076	3	635	Known	Known	None	7134	1823	737	1298
42	77	R1_92	R1_92_2	TALONG000000042	TALONT000000077	6	727	Known	Known	None	441	132	68	125
59	80	R2_72	R2_72_2	TALONG000000059	TALONT000000080	3	1792	Known	Known	None	996	1735	1289	1730
59	81	R2_72	R2_72_3	TALONG000000059	TALONT000000081	6	1862	Known	Known	None	1096	2821	2113	2688
59	82	R2_72	R2_72_1	TALONG000000059	TALONT000000082	2	1639	Known	Known	None	469	762	631	829
59	83	R2_72	R2_72_4	TALONG000000059	TALONT000000083	4	1442	Known	Known	None	1047	1178	1207	1716
51	84	R2_53	R2_53_1	TALONG000000051	TALONT000000084	11	1916	Known	Known	None	2	3	13	22
51	85	R2_53	R2_53_3	TALONG000000051	TALONT000000085	10	1674	Known	Known	None	77	123	774	1072
51	86	R2_53	R2_53_2	TALONG000000051	TALONT000000086	12	1989	Known	Known	None	113	366	1683	2298
58	88	R2_73	R2_73_1	TALONG000000058	TALONT000000088	3	944	Known	Known	None	4	1	38	71
7	89	R2_105	R2_105_1	TALONG000000007	TALONT000000089	1	375	Known	Known	None	3	2	0	0
60	90	R2_71	R2_71_1	TALONG000000060	TALONT000000090	5	1127	Known	Known	None	12	4	11	25
60	91	R2_71	R2_71_2	TALONG000000060	TALONT000000091	4	369	Known	Known	None	1	1	1	0
14	92	R2_41	R2_41_1	TALONG000000014	TALONT000000092	12	2182	Known	Known	None	13	64	144	180
14	93	R2_41	R2_41_2	TALONG000000014	TALONT000000093	5	616	Known	Known	None	18247	5003	168	276
67	94	R2_32	R2_32_2	TALONG000000067	TALONT000000094	8	1235	Known	Known	None	179	73	65	101
67	95	R2_32	R2_32_3	TALONG000000067	TALONT000000095	6	1148	Known	Known	None	80	27	30	40
67	96	R2_32	R2_32_1	TALONG000000067	TALONT000000096	7	868	Known	Known	None	716	208	198	391
64	97	R2_38	R2_38_2	TALONG000000064	TALONT000000097	4	760	Known	Known	None	2858	899	1797	3078
28	98	R2_153	R2_153_1	TALONG000000028	TALONT000000098	4	664	Known	Known	None	22	5	5	14
28	100	R2_153	R2_153_2	TALONG000000028	TALONT000000100	6	922	Known	Known	None	11	2	1	5
55	101	R1_11	R1_11_2	TALONG000000055	TALONT000000101	4	785	Known	Known	None	33963	9353	20999	31020
11	102	R1_62	R1_62_1	TALONG000000011	TALONT000000102	4	955	Known	Known	None	7	2	0	0
11	103	R1_62	R1_62_2	TALONG000000011	TALONT000000103	3	627	Known	Known	None	10	1	2	8
2	104	R1_82	R1_82_1	TALONG000000002	TALONT000000104	7	1400	Known	Known	None	5	2	7	16
22	105	R2_67	R2_67_1	TALONG000000022	TALONT000000105	2	523	Known	Known	None	107	31	277	338
46	106	R2_117	R2_117_1	TALONG000000046	TALONT000000106	4	1039	Known	Known	None	1349	719	879	1666
46	107	R2_117	R2_117_3	TALONG000000046	TALONT000000107	4	913	Known	Known	None	385	263	297	332
55	108	R1_11	R1_11_1	TALONG000000055	TALONT000000108	2	703	Known	Known	None	4391	1508	2885	5093
41	109	R1_91	R1_91_2	TALONG000000041	TALONT000000109	3	954	Known	Known	None	637	219	149	197
41	110	R1_91	R1_91_1	TALONG000000041	TALONT000000110	4	605	Known	Known	None	53	13	1909	3069
34	111	R1_12	R1_12_1	TALONG000000034	TALONT000000111	13	1310	Known	Known	None	2	0	1	3
13	112	R2_26	R2_26_1	TALONG000000013	TALONT000000112	18	4401	Known	Known	None	1	11	0	0
34	114	R1_12	R1_12_2	TALONG000000034	TALONT000000114	12	1582	Known	Known	None	0	0	11	24
71	115	R2_143	R2_143_1	TALONG000000071	TALONT000000115	1	825	Known	Known	None	10	4	185	268
1	116	R1_83	R1_83_2	TALONG000000001	TALONT000000116	5	945	Known	Known	None	2	1	2	2
1	117	R1_83	R1_83_1	TALONG000000001	TALONT000000117	6	1648	Known	Known	None	1	2	1	0
13	118	R2_26	R2_26_2	TALONG000000013	TALONT000000118	3	1417	Known	Known	None	2013	1244	98	126
44	119	R2_115	R2_115_2	TALONG000000044	TALONT000000119	5	1045	Known	Known	None	7	3	7	2
44	120	R2_115	R2_115_1	TALONG000000044	TALONT000000120	5	794	Known	Known	None	1	0	3	0
72	121	R2_140	R2_140_1	TALONG000000072	TALONT000000121	1	945	Known	Known	None	1226	614	449	509
3	123	R1_81	R1_81_1	TALONG000000003	TALONT000000123	5	889	Known	Known	None	9	4	5	4
3	124	R1_81	R1_81_2	TALONG000000003	TALONT000000124	4	1651	Known	Known	None	1	2	0	2
19	125	R2_63	R2_63_1	TALONG000000019	TALONT000000125	2	1571	Known	Known	None	6	4	9	10
45	126	R1_72	R1_72_1	TALONG000000045	TALONT000000126	2	988	Known	Known	None	5	2	0	0
19	127	R2_63	R2_63_3	TALONG000000019	TALONT000000127	3	712	Known	Known	None	24	8	14	17
37	128	R2_7	R2_7_2	TALONG000000037	TALONT000000128	7	1728	Known	Known	None	3961	2956	85	111
54	129	R2_57	R2_57_1	TALONG000000054	TALONT000000129	8	1392	Known	Known	None	8	2	11	11
54	130	R2_57	R2_57_2	TALONG000000054	TALONT000000130	11	1199	Known	Known	None	33	17	0	0
39	134	R1_51	R1_51_2	TALONG000000039	TALONT000000134	4	890	Known	Known	None	0	0	1	0
39	135	R1_51	R1_51_1	TALONG000000039	TALONT000000135	5	884	Known	Known	None	0	0	0	1
30	136	R2_154	R2_154_2	TALONG000000030	TALONT000000136	2	820	Known	Known	None	98214	36048	62033	98393
36	137	R1_14	R1_14_1	TALONG000000036	TALONT000000137	1	664	Known	Known	None	44969	11602	56111	86662
30	138	R2_154	R2_154_1	TALONG000000030	TALONT000000138	3	912	Known	Known	None	20431	6525	13492	21453
21	140	R2_65	R2_65_1	TALONG000000021	TALONT000000140	1	908	Known	Known	None	62576	34032	43872	56598
20	141	R2_28	R2_28_3	TALONG000000020	TALONT000000141	3	606	Known	Known	None	787	191	489	677
50	144	R1_71	R1_71_1	TALONG000000050	TALONT000000144	5	825	Known	Known	None	184	53	117	196
50	145	R1_71	R1_71_2	TALONG000000050	TALONT000000145	4	476	Known	Known	None	1068	232	653	1080
17	146	R2_45	R2_45_4	TALONG000000017	TALONT000000146	10	1717	Known	Known	None	25	46	53	78
20	147	R2_28	R2_28_2	TALONG000000020	TALONT000000147	1	2547	Known	Known	None	415	332	288	391
20	148	R2_28	R2_28_1	TALONG000000020	TALONT000000148	2	997	Known	Known	None	673	312	484	634
17	149	R2_45	R2_45_1	TALONG000000017	TALONT000000149	9	1379	Known	Known	None	10	5	3	9
17	150	R2_45	R2_45_2	TALONG000000017	TALONT000000150	15	1862	Known	Known	None	10	11	7	19
17	151	R2_45	R2_45_3	TALONG000000017	TALONT000000151	10	1963	Known	Known	None	16	22	15	22
52	157	R2_55	R2_55_3	TALONG000000052	TALONT000000157	5	782	Known	Known	None	0	1	0	0
52	158	R2_55	R2_55_2	TALONG000000052	TALONT000000158	3	661	Known	Known	None	72	43	5	5
70	159	R1_21	R1_21_2	TALONG000000070	TALONT000000159	3	794	Known	Known	None	1	1	5	13
70	160	R1_21	R1_21_1	TALONG000000070	TALONT000000160	4	867	Known	Known	None	0	0	0	1
78	230	TALONG000000078	TALONT000000230	TALONG000000078	TALONT000000230	3	987	Antisense	ISM	Prefix	1034	466	1470	2431
78	231	TALONG000000078	TALONT000000231	TALONG000000078	TALONT000000231	3	985	Antisense	ISM	Prefix	2571	1085	3545	5422
77	232	TALONG000000077	TALONT000000232	TALONG000000077	TALONT000000232	3	984	Intergenic	ISM	Suffix	4078	1587	5459	8277
77	234	TALONG000000077	TALONT000000234	TALONG000000077	TALONT000000234	3	983	Intergenic	ISM	Suffix	461	182	668	984
77	235	TALONG000000077	TALONT000000235	TALONG000000077	TALONT000000235	4	1014	Intergenic	ISM	Suffix	171	55	196	316
77	238	TALONG000000077	TALONT000000238	TALONG000000077	TALONT000000238	3	983	Intergenic	NIC	None	19	6	39	46
77	239	TALONG000000077	TALONT000000239	TALONG000000077	TALONT000000239	4	997	Intergenic	NNC	None	9	6	11	11
78	243	TALONG000000078	TALONT000000243	TALONG000000078	TALONT000000243	3	988	Antisense	NNC	None	39	14	48	98
78	244	TALONG000000078	TALONT000000244	TALONG000000078	TALONT000000244	4	1017	Antisense	NIC	None	31	8	29	55
78	248	TALONG000000078	TALONT000000248	TALONG000000078	TALONT000000248	4	1014	Antisense	ISM	Prefix	55	34	86	106
78	252	TALONG000000078	TALONT000000252	TALONG000000078	TALONT000000252	4	998	Antisense	NIC	None	29	9	42	77
78	253	TALONG000000078	TALONT000000253	TALONG000000078	TALONT000000253	4	1018	Antisense	NIC	None	18	7	17	22
78	264	TALONG000000078	TALONT000000264	TALONG000000078	TALONT000000264	4	1001	Antisense	NIC	None	17	6	17	30
78	265	TALONG000000078	TALONT000000265	TALONG000000078	TALONT000000265	4	1025	Antisense	NIC	None	10	13	20	49
78	269	TALONG000000078	TALONT000000269	TALONG000000078	TALONT000000269	4	1040	Antisense	NIC	None	7	5	7	10
78	270	TALONG000000078	TALONT000000270	TALONG000000078	TALONT000000270	3	989	Antisense	NIC	None	7	10	17	37
78	278	TALONG000000078	TALONT000000278	TALONG000000078	TALONT000000278	2	896	Antisense	ISM	Prefix	4619	1772	24810	40650
77	289	TALONG000000077	TALONT000000289	TALONG000000077	TALONT000000289	3	975	Intergenic	NIC	None	9	9	24	37
77	290	TALONG000000077	TALONT000000290	TALONG000000077	TALONT000000290	4	1003	Intergenic	NIC	None	21	12	32	62
77	295	TALONG000000077	TALONT000000295	TALONG000000077	TALONT000000295	4	1006	Intergenic	NIC	None	6	6	13	28
77	304	TALONG000000077	TALONT000000304	TALONG000000077	TALONT000000304	4	1024	Intergenic	NIC	None	22	8	29	45
