transcript_id,gene_id,VXZQDSSGHVXESRCU,GFVFCKEMORKYYMLY,DZSVCTWUYNSXZPKA,OXBCHWNYNTPSSTGN,YFLQYUFTSERFAPKN,GDIOTRNJDLZYKHKX,WXOFHUORVFJYNQPU,QSSRZDSPSKYUXCHP
ENSMUSG00000062098.11_138256662_138279104_1,ENSMUSG00000062098.11,0,1,0,0,1,0,0,0
ENSMUSG00000033610.16_34812104_34877853_1,ENSMUSG00000033610.16,3,2,2,1,3,0,2,0
ENSMUST00000027232.14,ENSMUSG00000117310.2,18,28,61,27,30,32,40,1
ENSMUSG00000029198.3_36465184_36471697_1,ENSMUSG00000029198.3,185,275,427,235,329,181,274,28
ENSMUSG00000004032.10_107895941_107898686_1,ENSMUSG00000004032.10,5,7,15,1,16,3,15,0
ENSMUST00000072751.12,ENSMUSG00000078440.10,209,302,471,202,263,174,293,22
ENSMUSG00000004032.10_107895941_107898686_2,ENSMUSG00000004032.10,145,159,351,107,255,115,220,14
ENSMUSG00000022120.4_104477536_104478327_2,ENSMUSG00000022120.4,33,36,74,22,31,21,32,2
ENSMUST00000213007.1,ENSMUSG00000034467.7,0,0,0,1,0,0,0,0
ENSMUSG00000034793.15_102189755_102194081_1,ENSMUSG00000034793.15,11,30,40,30,28,13,29,1
ENSMUSG00000026718.17_14074108_14147049_1,ENSMUSG00000026718.17,16,24,21,36,36,8,15,0
ENSMUSG00000034343.14_91250311_91262428_1,ENSMUSG00000034343.14,3,9,14,4,3,2,9,0
ENSMUST00000229940.1,ENSMUSG00000022568.17,30,35,87,37,47,44,45,4
ENSMUST00000019907.7,ENSMUSG00000019773.7,22,28,23,28,21,12,20,2
ENSMUST00000137563.7,ENSMUSG00000034566.10,133,124,223,44,211,78,133,11
ENSMUSG00000048967.16_69887788_69901648_1,ENSMUSG00000048967.16,7,8,15,6,9,5,6,0
ENSMUST00000136659.1,ENSMUSG00000019843.14,59,59,168,48,109,51,75,1
ENSMUSG00000067274.10_115559785_115567247_1,ENSMUSG00000067274.10,283,376,981,262,360,352,622,43
ENSMUSG00000022961.18_91675417_91679195_2,ENSMUSG00000022961.18,88,97,126,79,136,51,83,4
ENSMUSG00000035805.13_88955884_88978552_2,ENSMUSG00000035805.13,6,12,10,3,21,2,6,1
ENSMUSG00000022961.18_91675417_91679195_1,ENSMUSG00000022961.18,64,57,93,62,86,37,62,5
ENSMUSG00000022747.17_58470541_58523344_1,ENSMUSG00000022747.17,16,15,15,11,17,7,15,1
ENSMUST00000031530.8,ENSMUSG00000029550.11,68,89,228,67,120,76,134,4
ENSMUST00000008573.8,ENSMUSG00000008429.8,12,18,30,20,14,7,14,0
ENSMUST00000115168.8,ENSMUSG00000035790.15,25,55,46,28,53,17,38,5
ENSMUSG00000026577.13_164291171_164307272_1,ENSMUSG00000026577.13,11,19,20,11,17,8,12,2
ENSMUSG00000028988.13_149518236_149564810_1,ENSMUSG00000028988.13,65,63,129,65,94,35,85,10
ENSMUST00000179936.7,ENSMUSG00000001036.17,0,3,9,4,5,2,2,1
ENSMUST00000068697.10,ENSMUSG00000055239.10,154,157,336,126,174,101,167,13
ENSMUST00000032840.4,ENSMUSG00000030611.10,114,200,296,140,168,126,168,13
ENSMUST00000137573.1,ENSMUSG00000043090.18,16,24,22,21,29,3,14,4
ENSMUST00000231863.1,ENSMUSG00000022962.15,5,4,3,4,4,3,1,0
ENSMUST00000121446.1,ENSMUSG00000060733.13,3,0,0,2,0,1,0,0
ENSMUSG00000047085.14_44442485_44461699_1,ENSMUSG00000047085.14,6,8,2,6,9,3,6,3
ENSMUSG00000020380.16_53701997_53707295_1,ENSMUSG00000020380.16,2,1,2,1,2,0,0,0
ENSMUST00000106223.3,ENSMUSG00000078572.3,227,286,469,183,306,178,341,22
ENSMUSG00000062997.6_39001580_39005125_1,ENSMUSG00000062997.6,4130,5198,9087,3801,4557,3315,5136,363
ENSMUSG00000055538.7_25714424_25768854_1,ENSMUSG00000055538.7,26,30,13,27,34,3,2,0
ENSMUSG00000062997.6_39001580_39005125_3,ENSMUSG00000062997.6,525,491,1284,264,511,419,705,47
ENSMUSG00000062997.6_39001580_39005125_2,ENSMUSG00000062997.6,618,590,1575,399,665,569,928,63
ENSMUSG00000062997.6_39001580_39005125_5,ENSMUSG00000062997.6,1295,1118,717,903,1294,253,330,63
